"Cultivar","Site","F_langsethiae_DNA"
"Sandy","UCD_Lyons",0.165588493201183
"Sandy","UCD_Lyons",0.328171896550227
"Sandy","UCD_Lyons",0.629582660595665
"Poretto","UCD_Lyons",0.265201887927038
"Poretto","UCD_Lyons",0.276915826905828
"Poretto","UCD_Lyons",1.58275004509897
"Stormont Arrow","UCD_Lyons",1.41294781643831
"Stormont Arrow","UCD_Lyons",0.641476560718326
"Stormont Arrow","UCD_Lyons",2.52607542034738
"Stork","UCD_Lyons",0.127592225084175
"Stork","UCD_Lyons",0.484830866191877
"Stork","UCD_Lyons",0.358533025925765
"SW Betania","UCD_Lyons",0.230869880799767
"SW Betania","UCD_Lyons",0.177770303939166
"SW Betania","UCD_Lyons",0.484448695197018
"Conway","UCD_Lyons",0.196398906634877
"Conway","UCD_Lyons",0.118150963840993
"Conway","UCD_Lyons",0.551079625909369
"Barra","UCD_Lyons",0.152803274770747
"Barra","UCD_Lyons",1.36880737045498
"Barra","UCD_Lyons",0.232312894221237
"Tempo","UCD_Lyons",0.184136824672744
"Tempo","UCD_Lyons",0.131042969023524
"Tempo","UCD_Lyons",0.106015322285394
"Lena","UCD_Lyons",0.313104842168798
"Lena","UCD_Lyons",0.140794971509068
"Lena","UCD_Lyons",0.496375686529083
"Husky","UCD_Lyons",0.390825676492002
"Husky","UCD_Lyons",0.582450788334128
"Hedvig","UCD_Lyons",0.222496298093597
"Hedvig","UCD_Lyons",0.469100003594683
"Hedvig","UCD_Lyons",0.285057545463809
"Glasnevin Major","UCD_Lyons",0.365331247289866
"Glasnevin Major","UCD_Lyons",0.136562661092813
"Glasnevin Major","UCD_Lyons",0.329519020010517
"021-S02011Au16","UCD_Lyons",0.981058472263419
"021-S02011Au16","UCD_Lyons",0.685857953800898
"021-S02011Au16","UCD_Lyons",0.632602446502979
"Milford","UCD_Lyons",0.127499309971672
"Milford","UCD_Lyons",0.0712800595253708
"Milford","UCD_Lyons",0.596338095192227
"Maldwyn","UCD_Lyons",0.569219551032599
"Maldwyn","UCD_Lyons",2.28889861074574
