Cultivar,Site,Toxin
Sandy,UCD_Lyons,55.8
Sandy,UCD_Lyons,76.4
Sandy,UCD_Lyons,81.6
Poretto,UCD_Lyons,67.5
Poretto,UCD_Lyons,65.9
Poretto,UCD_Lyons,298
Stormont Arrow,UCD_Lyons,262.9
Stormont Arrow,UCD_Lyons,470.1
Stormont Arrow,UCD_Lyons,498.4
Stork,UCD_Lyons,111.9
Stork,UCD_Lyons,34.2
Stork,UCD_Lyons,123.7
SW Betania,UCD_Lyons,161.2
SW Betania,UCD_Lyons,46.3
SW Betania,UCD_Lyons,99.4
Conway,UCD_Lyons,35.3
Conway,UCD_Lyons,57.7
Conway,UCD_Lyons,112
Barra,UCD_Lyons,110.7
Barra,UCD_Lyons,218.1
Barra,UCD_Lyons,59.9
Tempo,UCD_Lyons,33
Tempo,UCD_Lyons,96.7
Tempo,UCD_Lyons,95.9
Lena,UCD_Lyons,81.9
Lena,UCD_Lyons,55.6
Lena,UCD_Lyons,99.7
Husky,UCD_Lyons,45.7
Husky,UCD_Lyons,377.1
Hedvig,UCD_Lyons,199.3
Hedvig,UCD_Lyons,153.6
Hedvig,UCD_Lyons,56
Glasnevin Major,UCD_Lyons,53
Glasnevin Major,UCD_Lyons,86.6
Glasnevin Major,UCD_Lyons,68.2
021-S02011Au16,UCD_Lyons,561.8
021-S02011Au16,UCD_Lyons,383.2
021-S02011Au16,UCD_Lyons,184.4
Milford,UCD_Lyons,52.6
Milford,UCD_Lyons,69.5
Milford,UCD_Lyons,31.7
Maldwyn,UCD_Lyons,108.6
Maldwyn,UCD_Lyons,155.8
Blythe,UCD_Lyons,263.7
Blythe,UCD_Lyons,171
Blythe,UCD_Lyons,342.9
Jokikyla ME0501,UCD_Lyons,40.7
Jokikyla ME0501,UCD_Lyons,139.8
Jokikyla ME0501,UCD_Lyons,83.4
Menai,UCD_Lyons,89.2
Menai,UCD_Lyons,234.1
Menai,UCD_Lyons,86
070-S02011Au5,UCD_Lyons,111.6
070-S02011Au5,UCD_Lyons,717.6
Timpani,UCD_Lyons,473.8
Timpani,UCD_Lyons,139.7
Timpani,UCD_Lyons,180.2
Caron,UCD_Lyons,135.2
Caron,UCD_Lyons,407.7
Caron,UCD_Lyons,234.1
Milo,UCD_Lyons,101.6
Milo,UCD_Lyons,407.6
Milo,UCD_Lyons,83.6
14579Cn1/1/1,UCD_Lyons,303.9
14579Cn1/1/1,UCD_Lyons,150.1
14579Cn1/1/1,UCD_Lyons,132.5
Elen,UCD_Lyons,549.7
Elen,UCD_Lyons,35.5
Elen,UCD_Lyons,273.7
Sandy,Teagasc,17.2
Sandy,Teagasc,29.75
Sandy,Teagasc,83.1
Poretto,Teagasc,39.35
Poretto,Teagasc,77.3
Poretto,Teagasc,33.45
Stormont Arrow,Teagasc,197.7
Stormont Arrow,Teagasc,228.4
Stormont Arrow,Teagasc,132.65
Stork,Teagasc,140.95
Stork,Teagasc,108.3
Stork,Teagasc,75.65
SW Betania,Teagasc,249.7
SW Betania,Teagasc,168.45
SW Betania,Teagasc,176.1
Conway,Teagasc,99.35
Conway,Teagasc,26.1
Conway,Teagasc,53.5
Barra,Teagasc,199.85
Barra,Teagasc,114.45
Barra,Teagasc,168.2
Tempo,Teagasc,40.95
Tempo,Teagasc,52.45
Tempo,Teagasc,24.1
Lena,Teagasc,191
Lena,Teagasc,93.7
Lena,Teagasc,126.5
Husky,Teagasc,99.55
Husky,Teagasc,11.35
Husky,Teagasc,21.35
Hedvig,Teagasc,67.95
Hedvig,Teagasc,134.25
Hedvig,Teagasc,187
Glasnevin Major,Teagasc,38.4
Glasnevin Major,Teagasc,46.8
Glasnevin Major,Teagasc,24
021-S02011Au16,Teagasc,281.4
021-S02011Au16,Teagasc,310.5
021-S02011Au16,Teagasc,240.9
Elen,Teagasc,306.15
Elen,Teagasc,274.35
Elen,Teagasc,308.1
Milford,Teagasc,86
Milford,Teagasc,141.2
Milford,Teagasc,316.25
Maldwyn,Teagasc,182.1
Maldwyn,Teagasc,291.95
Maldwyn,Teagasc,237.025
Blythe,Teagasc,443.45
Blythe,Teagasc,326.35
Blythe,Teagasc,397.95
Jokikyla ME0501,Teagasc,20.05
Jokikyla ME0501,Teagasc,73.7
Jokikyla ME0501,Teagasc,29.95
Menai,Teagasc,323.7
Menai,Teagasc,219.3
Menai,Teagasc,330.6
070-S02011Au5,Teagasc,32.2
070-S02011Au5,Teagasc,43.1
070-S02011Au5,Teagasc,115.25
Timpani,Teagasc,236.35
Timpani,Teagasc,328.5
Timpani,Teagasc,145.5
Caron,Teagasc,240.75
Caron,Teagasc,168.35
Caron,Teagasc,92.15
Milo,Teagasc,35.65
Milo,Teagasc,35.65
Milo,Teagasc,58.15
14579Cn1/1/1,Teagasc,182.3
