"Cultivar","mean_toxin","median_toxin","sd_toxin","min_toxin","max_toxin"
"Bullion",20,20,0,20,20
"Cacko",20,20,0,20,20
"Firth",20,20,0,20,20
"Hative Des Alpes",20,20,0,20,20
"Kwant",20,20,0,20,20
"Montrose",20,20,0,20,20
"Tenebra",20,20,0,20,20
"Wexford Tawny",20,20,0,20,20
"Zuton",20,20,0,20,20
"Sam",20.2625,20,0.525,20,21.05
"Rygja",20.35,20.275,0.422295315310665,20,20.85
"Mascani",20.375,20,0.75,20,21.5
"Yukon",20.575,20,1.15,20,22.3
"Polar",20.975,20.3,1.57559512565887,20,23.3
"Kentucky",21.025,20.6,1.37204227340122,20,22.9
"Romzard",21.2625,20.525,1.89093230973507,20,24
"Freja",21.3,20.475,2.01701098988908,20,24.25
"Harmony",22.8875,22.55,3.37944152190861,20,26.45
"Tyrone Tawny",23.6,20,7.2,20,34.4
"Lovaszpatonai sarga",25.225,20,10.45,20,40.9
"Nagyredei tf",25.975,24.25,7.4522368006749,20,35.4
"Mersevati tf",28.15,20,16.3,20,52.6
"Aveny",28.725,26.675,9.62431815766707,20.2,41.35
"Gamasi tf",28.7375,29.7,7.13680308915227,20.5,35.05
"Minue",29.1,20,18.2,20,56.4
"Canyon",29.6625,20,19.325,20,58.65
"Szeremlei tf",29.9,28.05,11.823986919253,20,43.5
"Landsorte Jlitormo",30.4375,30.7,8.85930537156648,20,40.35
"Black rival NSGC USA",31.125,20,22.25,20,64.5
"Black spring",31.4,20,22.8,20,65.6
"Barra",32.1,31.7,10.6361020428852,20.9,44.1
"SandyIr",33,20,26,20,72
"Stoper",33.425,21.55,24.7974629078595,20,70.6
"Trond",34.7625,29.975,18.7535496639969,20,59.1
"AJ 130/163/25",34.975,33.65,17.4264884586654,20,52.6
"Nidar I",35.0125,21.775,27.6715972012218,20,76.5
"Dregelypalanki tf",35.325,28.125,21.2457250601935,20,65.05
"Grajcar",37.3125,33.9,11.8103326935922,28,53.45
"Bialy Mazur",39.2625,41.325,6.05012052221551,30.55,43.85
"Kecskemeti tf",39.3125,23.125,34.5334228200256,20,91
"Zalalovoi tf",39.425,21.55,36.8123507354076,20,94.6
"Hannes",40.7125,25.35,34.5714567960333,20,92.15
"White",41.2375,33.9,24.9814723011542,20,77.15
"Pusztafoldvari tf",41.725,27.475,34.2169670387855,20,91.95
"Karcagi",43.1875,20,46.375,20,112.75
"Nidar",43.6375,46.925,19.3711716647875,20,60.7
"Stork",43.9,40.4,8.31865373723417,38.5,56.3
"Tempo",44.325,47,21.2764932887604,20,63.3
"Nero",45.65,34.7,30.846609754288,23.35,89.85
"Avesta",47.175,41.3,27.9896558273469,20.95,85.15
"Briddle",48.15,21.275,54.603769711135,20,130.05
"Katri",48.5,43.55,33.8871657121099,20,86.9
"Gaillette",48.625,51.275,20.9453455450131,21.1,70.85
"Dan",49.7875,45.5,35.1010060397134,20,88.15
"E 1588",50.6,20,61.2,20,142.4
"Ayr Bounty",50.75,25.75,54.1056066102827,20,131.5
"Noirine",51.675,49.075,32.8202300418507,20,88.55
"Kyro",53.1,29.775,53.8557177403972,20,132.85
"Chantilly",54.6875,52.725,34.1950867572131,22.6,90.7
"Keszthelyi Tf",54.825,40.75,43.3716016920442,20,117.8
"Gagybatory K Tajfajta",55.4625,59.5,31.1879884731286,20,82.85
"Jump",55.5125,56.875,33.041145435149,20,88.3
"Reima",56.475,50.05,36.7757732753507,21.15,104.65
"Osmo",56.6125,48.05,35.5952800007716,24,106.35
"Monostorpalyi tf",57.45,27.7,65.0397570721171,20,154.4
"Early Haig",60.3,48,50.3929889303396,20,125.2
"Nema",61.2,54.175,43.8792471828464,24.2,112.25
"Jokikyla ME0501",61.875,26.95,72.2922483165842,23.35,170.25
"Glasnevin Ardri",62.2375,20.8,83.4117435277152,20,187.35
"Cory",63.675,63.4,32.4001414605965,27.75,100.15
"Grignonnaise",65.45,55.625,54.8788210514767,20,130.55
"Orfine",67.7,68.85,41.4697480098445,20,113.1
"Veli",68.125,65.65,53.1491690120049,20,121.2
"Starlette De Moyencourt",69.7375,44.85,63.6736519946307,25.1,164.15
"Breton",69.7875,65.575,32.8886346883945,34.45,113.55
"Berdysz",70.275,53.725,63.6029939022789,20,153.65
"Voll",70.5875,70.7,18.0628705267647,52.95,88
"Glasnevin sonas",72.7,47.675,69.890521531893,20,175.45
"Florale",72.8625,27.375,95.9742619577423,20,216.7
"Hedvig",73.9125,61.075,48.9638025313939,30.5,143
"Szegedi",78.85,53.15,78.1286225826788,20,189.1
"Beiar",79.6125,62.675,52.9219452747787,37.65,155.45
"Hen Gardie",80.225,75.525,50.4520316736601,26.4,143.45
"Stormogul II",81.9375,52.475,82.0806044385639,20,202.8
"Juuka",84.1,85.25,55.4559885554903,20,145.9
"Ujszegedi",84.4625,63.075,79.5005385201886,20,191.7
"Mocsai tf",85.675,20,131.35,20,282.7
"Orana",87.6125,20,135.225,20,290.45
"Pocspetri tf",88.65,91.175,60.223375860209,25,147.25
"IRL029AVE0029",91.0625,24.1,136.672006247317,20,296.05
"Yty",93.55,63.6,97.002628830357,20,227
"H marik",95.2375,87.625,30.1033047742824,68,137.7
