"Cultivar","Trial","Replicate","Toxin"
"AJ 121/24","T1","R1",204.15
"AJ 121/24","T1","R2",65.25
"AJ 121/24","T2","R3",677.1
"AJ 121/24","T2","R4",997.05
"AJ 130/163/25","T1","R1",47.3
"AJ 130/163/25","T1","R2",52.6
"AJ 130/163/25","T2","R3",20
"AJ 130/163/25","T2","R4",20
"AJ 66/16/3/1/2","T1","R1",305.65
"AJ 66/16/3/1/2","T1","R2",63.45
"AJ 66/16/3/1/2","T2","R3",46.5
"AJ 66/16/3/1/2","T2","R4",35.85
"Angus (Gartons 290)","T1","R1",441.8
"Angus (Gartons 290)","T1","R2",61.8
"Angus (Gartons 290)","T2","R3",39.45
"Angus (Gartons 290)","T2","R4",22.6
"Aveny","T1","R1",22.35
"Aveny","T1","R2",31
"Aveny","T2","R3",41.35
"Aveny","T2","R4",20.2
"Ayr Bounty","T1","R1",20
"Ayr Bounty","T1","R2",131.5
"Ayr Bounty","T2","R3",20
"Ayr Bounty","T2","R4",31.5
"Alsovadaszi D tf","T1","R1",220.05
"Alsovadaszi D tf","T1","R2",252.2
"Alsovadaszi D tf","T2","R3",34.2
"Alsovadaszi D tf","T2","R4",21.55
"Anarcsi tf","T1","R1",39.7
"Anarcsi tf","T1","R2",342.3
"Anarcsi tf","T2","R3",21.2
"Anarcsi tf","T2","R4",25.65
"Ayr Commander","T1","R1",20
"Ayr Commander","T1","R2",20
"Ayr Commander","T2","R3",234.85
"Ayr Commander","T2","R4",836.3
"Bialy Mazur","T1","R1",39.85
"Bialy Mazur","T1","R2",43.85
"Bialy Mazur","T2","R3",42.8
"Bialy Mazur","T2","R4",30.55
"Berdysz","T1","R1",153.65
"Berdysz","T1","R2",86.2
"Berdysz","T2","R3",20
"Berdysz","T2","R4",21.25
"Bogaty","T1","R1",223.35
"Bogaty","T1","R2",20
"Bogaty","T2","R3",220.35
"Bogaty","T2","R4",56.7
"Bohun","T1","R1",149.35
"Bohun","T1","R2",146.95
"Bohun","T2","R3",401
"Bohun","T2","R4",263.75
"Borowiak","T1","R1",122.25
"Borowiak","T1","R2",235.4
"Borowiak","T2","R3",44.8
"Borowiak","T2","R4",69.95
"Breton","T1","R1",70.35
"Breton","T1","R2",34.45
"Breton","T2","R3",60.8
"Breton","T2","R4",113.55
"Bullion","T1","R1",20
"Bullion","T1","R2",20
"Bullion","T2","R3",20
"Bullion","T2","R4",20
"Chantilly","T1","R1",76.95
"Chantilly","T1","R2",90.7
"Chantilly","T2","R3",28.5
"Chantilly","T2","R4",22.6
"Cosaque","T1","R1",77.8
"Cosaque","T1","R2",49.05
"Cosaque","T2","R3",222.5
"Cosaque","T2","R4",270.6
"Cacko","T1","R1",20
"Cacko","T1","R2",20
"Cacko","T2","R3",20
"Cacko","T2","R4",20
"Cwal","T1","R1",282.4
"Cwal","T1","R2",54.85
"Cwal","T2","R3",230.7
"Cwal","T2","R4",20
"Deresz","T1","R1",20
"Deresz","T1","R2",20
"Deresz","T2","R3",355.45
"Deresz","T2","R4",398.55
"Dippawski","T1","R1",599.1
"Dippawski","T1","R2",117.75
"Dippawski","T2","R3",409.95
"Dippawski","T2","R4",264.35
"Dregelypalanki tf","T1","R1",36.25
"Dregelypalanki tf","T1","R2",65.05
"Dregelypalanki tf","T2","R3",20
"Dregelypalanki tf","T2","R4",20
"E 1588","T1","R1",20
"E 1588","T1","R2",142.4
"E 1588","T2","R3",20
"E 1588","T2","R4",20
"Early Haig","T1","R1",75.2
"Early Haig","T1","R2",125.2
"Early Haig","T2","R3",20
"Early Haig","T2","R4",20.8
"Ecsi tf","T1","R1",471
"Ecsi tf","T1","R2",144
"Ecsi tf","T2","R3",22.5
"Ecsi tf","T2","R4",20
"Filong","T1","R1",52.05
"Filong","T1","R2",289.85
"Filong","T2","R3",438.35
"Filong","T2","R4",69.25
"Furman","T1","R1",46.65
"Furman","T1","R2",77.4
"Furman","T2","R3",38.8
"Furman","T2","R4",1000
"Gaillette","T1","R1",56.3
"Gaillette","T1","R2",70.85
"Gaillette","T2","R3",46.25
"Gaillette","T2","R4",21.1
"Gagybatory K Tajfajta","T1","R1",20
"Gagybatory K Tajfajta","T1","R2",38.55
"Gagybatory K Tajfajta","T2","R3",82.85
"Gagybatory K Tajfajta","T2","R4",80.45
"Gamasi tf","T1","R1",35.05
"Gamasi tf","T1","R2",20.5
"Gamasi tf","T2","R3",34.35
"Gamasi tf","T2","R4",25.05
"Glasnevin Ardri","T1","R1",187.35
"Glasnevin Ardri","T1","R2",20
"Glasnevin Ardri","T2","R3",20
"Glasnevin Ardri","T2","R4",21.6
"Gniady","T1","R1",205.7
"Gniady","T1","R2",480.4
"Gniady","T2","R3",43.45
"Gniady","T2","R4",24.05
"Grajcar","T1","R1",53.45
"Grajcar","T1","R2",38.8
"Grajcar","T2","R3",29
"Grajcar","T2","R4",28
"Grakall","T1","R1",31.15
"Grakall","T1","R2",351.75
"Grakall","T2","R3",76.4
"Grakall","T2","R4",43.9
"Grignonnaise","T1","R1",91.25
"Grignonnaise","T1","R2",130.55
"Grignonnaise","T2","R3",20
"Grignonnaise","T2","R4",20
"Gunhild","T1","R1",157.3
"Gunhild","T1","R2",105.75
"Gunhild","T2","R3",645.5
"Gunhild","T2","R4",745
